"ID" "condition" "block" "time" "time_n" "time_nmd" "dist" "hits"
"145" 20 "Congruent" 1 4.283127 0.178759265878985 -0.056229895285666 0.010028415 15
"146" 20 "Congruent" 2 3.574284 -0.110178900845409 -0.47556443846751 0.0099435285 13.5
"147" 20 "Congruent" 3 3.14625 -0.718197630622824 -0.728779102160736 0.0092301685 14
"148" 20 "Incongruent" 1 6.634817 0.989275202438658 1.3349735896261 0.01362296 12
"149" 20 "Incongruent" 2 4.892785 0.501571681307765 0.304429177212978 0.01332851 13
"150" 20 "Incongruent" 3 4.042532 -0.135707864790142 -0.198560135433112 0.01317548 13.5
"151" 20 "Novel" 1 6.131826 0.893189281354227 1.03741615982912 0.039231255 5
"152" 20 "Novel" 2 6.177115 0.894800461483829 1.06420804763243 0.033368485 5.5
"153" 20 "Novel" 3 4.099178 -0.0757517684726638 -0.165049718411178 0.045406915 3
"154" 20 "Random" 1 5.862813 0.639082384457558 0.878274511445803 0.062372355 1
"155" 20 "Random" 2 3.931704 -0.225514979685728 -0.264123326085707 0.06819496 4.5
"156" 20 "Random" 3 3.679507 -0.319002198186948 -0.41331703158443 0.056738265 4
"157" 21 "Congruent" 1 3.974267 0.609792896994047 0.441884969765349 0.01252116 13
"158" 21 "Congruent" 2 2.838503 -0.356985355886173 -0.45950055999228 0.01447559 12
"159" 21 "Congruent" 3 2.8147 0.063909291503158 -0.478391526570566 0.01397239 12
"160" 21 "Incongruent" 1 4.557096 0.893416426919063 0.904440242624067 0.027319895 9.5
"161" 21 "Incongruent" 2 3.618598 -0.113886694327456 0.159612517052139 0.033158185 9.5
"162" 21 "Incongruent" 3 2.682299 -0.531431761789077 -0.58346999844099 0.03391185 10
